model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
KNN,False,True,0.6828401307352606,0.7780089980602432,0.6828401307352606,0.6535041878469449,"[1, 2, 3, 8, 10, 18, 19, 20, 22, 23, 25, 41, 42, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,18
KNN,False,False,0.999959999899993,0.9999600058989072,0.999959999899993,0.9999599998996599,"[1, 2, 3, 10, 20, 22, 24, 25, 27, 41, 45, 46, 47, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,18
Decision Tree,True,True,0.4882316375812705,0.5081216819049962,0.4882316375812705,0.4768665064748127,"[1, 2, 3, 10, 18, 19, 20, 22, 24, 25, 27, 40, 41, 45, 46, 47, 54, 68, 70, 75, 76, 77, 78]",extra_trees,18
Decision Tree,True,False,0.9019597833825581,0.9177452804624364,0.9019597833825581,0.8996357595183871,"[1, 2, 3, 8, 10, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,18
Decision Tree,False,True,0.7740400575542324,0.798965245369062,0.7740400575542324,0.7693553879358771,"[1, 2, 3, 12, 19, 20, 22, 23, 25, 27, 41, 45, 46, 47, 53, 55, 63, 68, 70, 75, 76, 77, 78]",extra_trees,18
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[1, 2, 3, 8, 12, 18, 22, 23, 25, 27, 41, 45, 46, 47, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,18
Random Forest,True,True,0.7003890735493422,0.6964961639732467,0.7003890735493422,0.6820857526508602,"[1, 2, 3, 8, 10, 18, 19, 20, 22, 24, 25, 45, 46, 47, 55, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,18
Random Forest,True,False,0.7073803926375497,0.6676518266228166,0.7073803926375497,0.638308248608293,"[1, 2, 3, 8, 10, 18, 20, 22, 24, 25, 41, 42, 45, 46, 47, 53, 55, 68, 70, 75, 76, 77, 78]",extra_trees,18
Random Forest,False,True,0.7186204981387427,0.8237099301342118,0.7186204981387427,0.6875925102207638,"[1, 2, 3, 8, 18, 19, 20, 22, 23, 24, 25, 43, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,18
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 8, 11, 19, 20, 22, 23, 24, 25, 27, 41, 42, 45, 46, 47, 53, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,18
GaussianNB,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[1, 2, 3, 10, 12, 19, 20, 22, 23, 25, 41, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,18
GaussianNB,True,False,0.9335195067916361,0.945976754178854,0.9335195067916361,0.9322728409605746,"[1, 2, 3, 10, 19, 22, 23, 24, 25, 27, 41, 45, 46, 47, 55, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,18
GaussianNB,False,True,0.6462098616306257,0.5754236978124451,0.6462098616306257,0.5881455173500217,"[1, 2, 3, 10, 22, 23, 25, 27, 41, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,18
GaussianNB,False,False,0.997819981199752,0.997829563374478,0.997819981199752,0.9978199661370954,"[1, 2, 3, 8, 20, 22, 25, 41, 45, 46, 47, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,18
Mutilayer Perceptron,True,True,0.7207495228489215,0.8080077210118248,0.7207495228489215,0.6981285996331031,"[1, 2, 3, 20, 22, 23, 24, 25, 27, 41, 45, 46, 47, 55, 63, 68, 70, 75, 76, 77, 78]",extra_trees,18
Mutilayer Perceptron,True,False,0.7766600816545154,0.8120487326956787,0.7766600816545154,0.770151090306538,"[1, 2, 3, 20, 22, 23, 25, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,18
Mutilayer Perceptron,False,True,0.43402133937341053,0.43145631174106147,0.43402133937341053,0.4297751482386602,"[1, 2, 3, 12, 19, 22, 23, 24, 25, 41, 45, 46, 47, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,18
Mutilayer Perceptron,False,False,0.999969999999994,0.9999700017998862,0.999969999999994,0.9999699999999669,"[0, 1, 2, 3, 10, 18, 20, 22, 23, 24, 25, 41, 42, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,18
KNN,True,True,0.3944489417894719,0.4432591143410524,0.3944489417894719,0.27417703845450053,"[1, 2, 3, 8, 10, 20, 22, 24, 25, 27, 41, 45, 46, 47, 54, 68, 70, 75, 76, 77, 78]",extra_trees,23
KNN,True,False,0.7293893500523773,0.7623018030935635,0.7293893500523773,0.7243089160178376,"[1, 2, 8, 10, 12, 19, 20, 22, 25, 26, 27, 41, 42, 45, 46, 47, 53, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
KNN,False,True,0.5151788393146427,0.41363471118106987,0.5151788393146427,0.4016841011794534,"[1, 2, 3, 8, 18, 19, 22, 24, 25, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,23
KNN,False,False,0.9999100005999759,0.9999100083978284,0.9999100005999759,0.999910000599463,"[1, 2, 3, 8, 10, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 53, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,23
Decision Tree,True,True,0.7935218036406679,0.8656789005681785,0.7935218036406679,0.7684690691199335,"[1, 2, 3, 12, 20, 22, 23, 25, 41, 45, 46, 47, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
Decision Tree,True,False,0.890549434083769,0.9093175961079781,0.890549434083769,0.8889426987036843,"[1, 2, 3, 10, 18, 19, 20, 22, 23, 24, 25, 27, 41, 42, 45, 46, 47, 64, 68, 69, 70, 75, 76, 77, 78]",extra_trees,23
Decision Tree,False,True,0.82440849517993,0.8381926222546147,0.82440849517993,0.8211877989737962,"[1, 2, 3, 8, 10, 19, 20, 22, 23, 24, 25, 27, 41, 42, 45, 46, 47, 53, 55, 68, 70, 75, 76, 77, 78]",extra_trees,23
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[1, 2, 3, 19, 20, 22, 25, 27, 41, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
Random Forest,True,True,0.8543188455824079,0.8846399056083518,0.8543188455824079,0.8497425013311973,"[1, 2, 3, 10, 12, 20, 22, 23, 25, 41, 42, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
Random Forest,True,False,0.8999890553894438,0.9189418415141662,0.8999890553894438,0.8973853551904494,"[1, 2, 3, 8, 18, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23
